Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director
American_Psycho,2000,A,101,Comedy,7.6,Mary Harron
Batoru_rowaiaru,2000,,114,Action,7.6,Kinji Fukasaku
Billy_Elliot,2000,R,110,Drama,7.7,Stephen Daldry
O_Brother_Where_Art_Thou?,2000,U,107,Adventure,7.7,Joel Coen
Vampire_Hunter_D_Bloodlust,2000,U,103,Animation,7.7,Yoshiaki Kawajiri
Cast_Away,2000,UA,143,Adventure,7.8,Robert Zemeckis
Gongdong_gyeongbi_guyeok_JSA,2000,,110,Action,7.8,Chan-wook Park
Remember_the_Titans,2000,U,113,Biography,7.8,Boaz Yakin
Wo_hu_cang_long,2000,UA,120,Action,7.8,Ang Lee
Almost_Famous,2000,A,122,Adventure,7.9,Cameron Crowe
Nueve_reinas,2000,R,114,Crime,7.9,FabiÃ¡n Bielinsky
Dancer_in_the_Dark,2000,U,140,Crime,8,Lars von Trier
Amores_perros,2000,A,154,Drama,8.1,Alejandro G. IÃ±Ã¡rritu
Fa_yeung_nin_wah,2000,U,98,Drama,8.1,Kar-Wai Wong
Hera_Pheri,2000,U,156,Action,8.2,Priyadarshan
Requiem_for_a_Dream,2000,A,102,Drama,8.3,Darren Aronofsky
Snatch,2000,UA,104,Comedy,8.3,Guy Ritchie
Memento,2000,UA,113,Mystery,8.4,Christopher Nolan
Gladiator,2000,UA,155,Action,8.5,Ridley Scott
Blow,2001,R,124,Biography,7.6,Ted Demme
Enemy_at_the_Gates,2001,A,131,Drama,7.6,Jean-Jacques Annaud
Harry_Potter_and_the_Sorcerer's_Stone,2001,U,152,Adventure,7.6,Chris Columbus
The_Others,2001,PG-13,101,Horror,7.6,Alejandro AmenÃ¡bar
The_Royal_Tenenbaums,2001,A,110,Comedy,7.6,Wes Anderson
Y_tu_mamÃ¡_tambiÃ©n,2001,A,106,Drama,7.6,Alfonso CuarÃ³n
Black_Hawk_Down,2001,A,144,Drama,7.7,Ridley Scott
Das_Experiment,2001,R,120,Drama,7.7,Oliver Hirschbiegel
Hedwig_and_the_Angry_Inch,2001,R,95,Comedy,7.7,John Cameron Mitchell
I_Am_Sam,2001,PG-13,132,Drama,7.7,Jessie Nelson
